Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight,Stage of Life
F,0.2,0.1,0.05,0.4444059808931458,0.225809329414396,0.1,0.105,Child
F,0.1,0.05,0.025,0.2404624940245082,0.1217440226913581,0.05,0.0525,Child
F,0.3,0.15,0.075,0.6449971869797249,0.3373993770305118,0.15,0.1575,Child
F,0.05,0.025,0.0125,0.1186576518144666,0.0616945783590635,0.025,0.02625,Child
M,0.25,0.125,0.0625,0.5391417090173252,0.2682268839157771,0.125,0.13125,Child
F,0.15,0.075,0.0375,0.3348932566858664,0.1783989671807028,0.075,0.07875,Child
M,0.35,0.175,0.0875,0.7311074599403065,0.3697365858188741,0.175,0.18375,Child
I,0.025,0.0125,0.00625,0.1033485879462789,0.0619486551586316,0.0125,0.013125,Child
F,0.225,0.1125,0.05625,0.5015030012221696,0.2587084199404139,0.1125,0.118125,Child
F,0.125,0.0625,0.03125,0.2768153650809919,0.1440422977599767,0.0625,0.065625,Child
M,0.325,0.1625,0.08125,0.6842550578165463,0.3463350231126945,0.1625,0.170625,Child
M,0.075,0.0375,0.01875,0.1808873000033409,0.0878608915534109,0.0375,0.039375,Child
F,0.275,0.1375,0.06875,0.5829814615138974,0.2995553016560148,0.1375,0.144375,Child
F,0.175,0.0875,0.04375,0.3726564574171966,0.1898960072065866,0.0875,0.091875,Child
F,0.375,0.1875,0.09375,0.786457055995894,0.396801253422027,0.1875,0.196875,Child
F,0.0125,0.00625,0.003125,0.0693242694241244,0.0471905472466407,0.00625,0.0065625,Child
M,0.2125,0.10625,0.053125,0.4595175455478041,0.2366466639304265,0.10625,0.1115625,Child
M,0.1125,0.05625,0.028125,0.278582601607602,0.1476296092988946,0.05625,0.0590625,Child
F,0.3125,0.15625,0.078125,0.6608512329614323,0.3392273320699041,0.15625,0.1640625,Child
M,0.0625,0.03125,0.015625,0.1651759755208687,0.0982696512328673,0.03125,0.0328125,Child
F,0.2625,0.13125,0.065625,0.5898521787712223,0.3064401466784641,0.13125,0.1378125,Child
M,0.1625,0.08125,0.040625,0.3848695302109317,0.2043010749476835,0.08125,0.0853125,Child
F,0.3625,0.18125,0.090625,0.7797288197337278,0.4067863380786942,0.18125,0.1903125,Child
F,0.0375,0.01875,0.009375,0.1254220229964529,0.0681528075361302,0.01875,0.0196875,Child
I,0.2375,0.11875,0.059375,0.5433022518084781,0.2822733038537403,0.11875,0.1246874999999999,Child
M,0.1375,0.06875,0.034375,0.3208643979076622,0.1660686448322846,0.06875,0.0721875,Child
F,0.3375,0.16875,0.084375,0.7366913089320131,0.3862277256206353,0.16875,0.1771875,Child
F,0.0875,0.04375,0.021875,0.2260094276024829,0.1265000185686236,0.04375,0.0459375,Child
M,0.2875,0.14375,0.071875,0.6153063450582685,0.3022519425727202,0.14375,0.1509375,Child
F,0.1875,0.09375,0.046875,0.4043113817697595,0.1939717294510476,0.09375,0.0984375,Child
F,0.3875,0.19375,0.096875,0.8558407647281939,0.4454465782193409,0.19375,0.2034375,Child
F,0.00625,0.003125,0.0015625,0.0583505632399577,0.0326090506554874,0.003125,0.00328125,Child
F,0.20625,0.103125,0.0515625,0.4361708674252474,0.2208386082051593,0.103125,0.10828125,Child
F,0.10625,0.053125,0.0265625,0.2528433029294396,0.1265859879142148,0.053125,0.05578125,Child
M,0.30625,0.153125,0.0765625,0.6829935900732198,0.3565774837755718,0.153125,0.16078125,Child
F,0.05625,0.028125,0.0140625,0.1409493683142367,0.0707648975650362,0.028125,0.02953125,Child
M,0.25625,0.128125,0.0640625,0.5502544544598319,0.2703416868452025,0.128125,0.13453125,Child
M,0.15625,0.078125,0.0390625,0.3656058280001195,0.1909605317498192,0.078125,0.08203125,Child
F,0.35625,0.178125,0.0890625,0.7908708862461628,0.4071189140065745,0.178125,0.1870312499999999,Child
F,0.03125,0.015625,0.0078125,0.0911886163484104,0.0578176967222638,0.015625,0.01640625,Child
F,0.23125,0.115625,0.0578125,0.4987055632630639,0.2419602075217707,0.115625,0.12140625,Child
F,0.13125,0.065625,0.0328125,0.302825787891149,0.1549559056022632,0.065625,0.06890625,Child
M,0.33125,0.165625,0.0828125,0.703933665163971,0.3547892234447693,0.165625,0.1739062499999999,Child
M,0.08125,0.040625,0.0203125,0.2014634622243944,0.1054307904735972,0.040625,0.04265625,Child
M,0.28125,0.140625,0.0703125,0.6086653049039646,0.3123422686325732,0.140625,0.14765625,Child
M,0.18125,0.090625,0.0453125,0.4206458661156154,0.2319036303195447,0.090625,0.09515625,Child
M,0.38125,0.190625,0.0953125,0.806663591866189,0.4030955639397741,0.190625,0.2001562499999999,Child
F,0.01875,0.009375,0.0046875,0.0863843826726639,0.0530528333636196,0.009375,0.00984375,Child
M,0.21875,0.109375,0.0546875,0.4804471056256664,0.2406565413370394,0.109375,0.11484375,Child
M,0.11875,0.059375,0.0296875,0.2735740134630388,0.1350820957480973,0.059375,0.0623437499999999,Child
M,0.31875,0.159375,0.0796875,0.7029987154776132,0.3643563548181585,0.159375,0.1673437499999999,Child
F,0.06875,0.034375,0.0171875,0.1802672106965011,0.098334448162007,0.034375,0.03609375,Child
F,0.26875,0.134375,0.0671875,0.5873729502095586,0.3094741142005719,0.134375,0.14109375,Child
F,0.16875,0.084375,0.0421875,0.390741950504844,0.2054800729037491,0.084375,0.08859375,Child
F,0.36875,0.184375,0.0921875,0.7935103752185888,0.4114702082292299,0.184375,0.1935937499999999,Child
F,0.04375,0.021875,0.0109375,0.1068809332902109,0.0530829020187663,0.021875,0.02296875,Child
